iter	Passed	Remaining
0	6	6014
1	11	5597
2	15	5136
3	21	5407
4	26	5174
5	29	4912
6	34	4852
7	37	4708
8	41	4589
9	45	4522
10	48	4394
11	52	4350
12	56	4280
13	60	4245
14	64	4217
15	68	4232
16	72	4172
17	76	4194
18	80	4172
19	85	4178
20	92	4319
21	97	4313
22	100	4279
23	104	4242
24	108	4238
25	112	4201
26	115	4171
27	118	4129
28	122	4104
29	126	4090
30	131	4106
31	134	4078
32	139	4079
33	147	4186
34	151	4182
35	155	4151
36	161	4203
37	166	4204
38	169	4186
39	174	4184
40	178	4178
41	182	4155
42	185	4136
43	189	4113
44	193	4105
45	197	4099
46	201	4079
47	204	4061
48	208	4037
49	211	4014
50	214	3996
51	218	3988
52	222	3969
53	225	3946
54	228	3922
55	231	3904
56	234	3886
57	238	3871
58	241	3854
59	244	3838
60	248	3819
61	251	3802
62	255	3792
63	258	3777
64	261	3766
65	265	3750
66	268	3739
67	271	3725
68	275	3719
69	278	3703
70	282	3695
71	285	3679
72	288	3669
73	292	3654
74	295	3642
75	298	3628
76	301	3615
77	305	3612
78	309	3606
79	312	3593
80	315	3582
81	319	3578
82	323	3569
83	326	3559
84	329	3549
85	332	3538
86	336	3534
87	339	3522
88	343	3517
89	346	3508
90	350	3499
91	353	3492
92	357	3485
93	360	3475
94	364	3469
95	368	3471
96	372	3464
97	375	3452
98	378	3446
99	382	3441
100	386	3441
101	389	3432
102	393	3424
103	396	3416
104	400	3415
105	404	3409
106	407	3401
107	410	3391
108	413	3382
109	416	3373
110	420	3366
111	423	3358
112	426	3351
113	430	3346
114	433	3339
115	437	3331
116	440	3324
117	443	3317
118	448	3317
119	451	3309
120	454	3300
121	457	3291
122	460	3285
123	463	3277
124	467	3273
125	471	3269
126	474	3264
127	478	3259
128	481	3253
129	485	3248
130	488	3241
131	492	3236
132	495	3229
133	499	3226
134	502	3220
135	506	3215
136	509	3209
137	513	3205
138	516	3198
139	519	3193
140	524	3196
141	528	3192
142	531	3188
143	535	3184
144	539	3182
145	543	3177
146	547	3174
147	550	3167
148	553	3161
149	556	3154
150	560	3149
151	563	3144
152	567	3139
153	570	3134
154	574	3129
155	647	3500
156	650	3494
157	655	3494
158	659	3486
159	662	3480
160	666	3472
161	670	3467
162	673	3458
163	676	3449
164	679	3440
165	683	3434
166	686	3426
167	690	3418
168	693	3411
169	697	3404
170	700	3398
171	704	3391
172	708	3386
173	712	3382
174	716	3378
175	721	3375
176	724	3368
177	728	3362
178	731	3356
179	735	3348
180	738	3340
181	741	3333
182	745	3326
183	748	3318
184	751	3310
185	754	3302
186	757	3294
187	761	3287
188	764	3279
189	767	3271
190	770	3264
191	773	3255
192	777	3249
193	780	3240
194	783	3236
195	787	3229
196	790	3222
197	793	3215
198	797	3208
199	800	3202
200	803	3194
201	806	3187
202	810	3180
203	813	3173
204	816	3167
205	819	3160
206	822	3152
207	826	3146
208	829	3138
209	832	3132
210	835	3125
211	838	3117
212	842	3111
213	845	3104
214	848	3098
215	851	3091
216	854	3084
217	857	3077
218	861	3070
219	864	3064
220	867	3058
221	870	3051
222	874	3045
223	877	3040
224	880	3034
225	884	3028
226	887	3022
227	890	3016
228	894	3011
229	897	3004
230	900	2999
231	904	2993
232	908	2991
233	911	2984
234	914	2978
235	917	2971
236	921	2965
237	925	2963
238	928	2957
239	931	2950
240	934	2944
241	938	2938
242	941	2932
243	944	2926
244	948	2921
245	951	2916
246	955	2911
247	958	2906
248	962	2902
249	965	2896
250	968	2890
251	973	2888
252	976	2883
253	979	2877
254	983	2873
255	986	2868
256	990	2863
257	993	2857
258	996	2851
259	1000	2846
260	1003	2841
261	1007	2838
262	1011	2833
263	1015	2830
264	1019	2827
265	1025	2829
266	1032	2834
267	1036	2831
268	1040	2826
269	1045	2826
270	1048	2821
271	1052	2817
272	1056	2813
273	1059	2807
274	1063	2803
275	1066	2798
276	1069	2792
277	1073	2787
278	1076	2782
279	1080	2777
280	1083	2771
281	1086	2766
282	1089	2760
283	1092	2755
284	1096	2749
285	1099	2744
286	1102	2739
287	1106	2734
288	1109	2728
289	1112	2723
290	1115	2718
291	1119	2713
292	1122	2709
293	1126	2704
294	1129	2699
295	1132	2694
296	1136	2691
297	1141	2688
298	1145	2684
299	1148	2679
300	1152	2675
301	1155	2670
302	1158	2665
303	1162	2660
304	1165	2655
305	1169	2651
306	1172	2647
307	1176	2642
308	1179	2637
309	1182	2632
310	1186	2628
311	1190	2624
312	1193	2619
313	1196	2614
314	1200	2609
315	1203	2604
316	1206	2600
317	1209	2594
318	1213	2591
319	1217	2586
320	1220	2581
321	1223	2576
322	1227	2572
323	1231	2568
324	1234	2564
325	1237	2559
326	1241	2554
327	1244	2549
328	1247	2545
329	1252	2542
330	1256	2539
331	1260	2536
332	1264	2532
333	1267	2527
334	1270	2522
335	1274	2517
336	1277	2512
337	1280	2508
338	1283	2503
339	1287	2498
340	1290	2493
341	1293	2488
342	1296	2483
343	1299	2479
344	1303	2474
345	1306	2469
346	1310	2465
347	1313	2460
348	1316	2456
349	1320	2451
350	1323	2446
351	1326	2441
352	1329	2436
353	1332	2432
354	1336	2427
355	1339	2423
356	1343	2419
357	1346	2415
358	1349	2410
359	1353	2405
360	1356	2400
361	1359	2396
362	1363	2392
363	1366	2387
364	1370	2383
365	1373	2379
366	1376	2374
367	1380	2370
368	1383	2365
369	1386	2361
370	1390	2356
371	1393	2353
372	1397	2348
373	1400	2343
374	1403	2339
375	1407	2335
376	1410	2331
377	1414	2327
378	1417	2322
379	1420	2317
380	1423	2313
381	1427	2308
382	1430	2305
383	1434	2300
384	1437	2295
385	1440	2291
386	1443	2286
387	1446	2282
388	1450	2277
389	1453	2273
390	1456	2269
391	1460	2265
392	1464	2261
393	1467	2257
394	1470	2252
395	1474	2248
396	1477	2244
397	1480	2239
398	1484	2235
399	1487	2231
400	1491	2227
401	1494	2223
402	1497	2218
403	1501	2214
404	1504	2210
405	1507	2206
406	1511	2201
407	1514	2197
408	1517	2192
409	1521	2188
410	1524	2184
411	1527	2179
412	1530	2175
413	1534	2171
414	1537	2167
415	1540	2163
416	1544	2158
417	1547	2154
418	1550	2150
419	1554	2147
420	1557	2142
421	1561	2138
422	1564	2134
423	1567	2129
424	1570	2125
425	1574	2121
426	1577	2116
427	1580	2112
428	1584	2108
429	1587	2105
430	1591	2100
431	1594	2096
432	1597	2092
433	1601	2088
434	1604	2084
435	1607	2079
436	1610	2075
437	1614	2071
438	1617	2067
439	1621	2063
440	1625	2060
441	1630	2058
442	1634	2054
443	1637	2051
444	1641	2046
445	1645	2043
446	1648	2039
447	1651	2035
448	1655	2031
449	1658	2027
450	1661	2022
451	1665	2018
452	1668	2014
453	1671	2010
454	1675	2006
455	1678	2002
456	1681	1997
457	1685	1994
458	1688	1990
459	1691	1986
460	1695	1981
461	1698	1977
462	1701	1973
463	1705	1970
464	1708	1965
465	1711	1961
466	1715	1958
467	1718	1953
468	1722	1949
469	1725	1945
470	1728	1941
471	1731	1937
472	1735	1933
473	1738	1929
474	1742	1925
475	1745	1921
476	1748	1917
477	1752	1913
478	1755	1909
479	1758	1905
480	1761	1901
481	1765	1897
482	1769	1894
483	1774	1891
484	1777	1887
485	1780	1883
486	1784	1880
487	1788	1876
488	1792	1873
489	1796	1869
490	1800	1866
491	1804	1862
492	1807	1858
493	1810	1854
494	1814	1851
495	1818	1847
496	1821	1843
497	1824	1839
498	1827	1835
499	1832	1832
500	1836	1828
501	1841	1826
502	1845	1823
503	1850	1821
504	1854	1817
505	1858	1814
506	1862	1810
507	1866	1807
508	1869	1803
509	1873	1799
510	1876	1795
511	1879	1791
512	1883	1788
513	1887	1784
514	1890	1780
515	1893	1776
516	1897	1772
517	1900	1768
518	1904	1764
519	1908	1761
520	1911	1757
521	1914	1753
522	1917	1748
523	1920	1744
524	1924	1741
525	1927	1736
526	1931	1733
527	1934	1729
528	1938	1725
529	1941	1721
530	1945	1717
531	1948	1714
532	1951	1710
533	1955	1706
534	1958	1702
535	1962	1698
536	1965	1694
537	1968	1690
538	1971	1686
539	1975	1682
540	1978	1678
541	1982	1674
542	1985	1671
543	1988	1666
544	1992	1663
545	1995	1659
546	1998	1655
547	2002	1651
548	2005	1647
549	2009	1643
550	2012	1639
551	2015	1636
552	2019	1632
553	2023	1628
554	2026	1625
555	2030	1621
556	2033	1617
557	2036	1613
558	2040	1609
559	2043	1605
560	2046	1601
561	2050	1597
562	2053	1593
563	2056	1590
564	2061	1586
565	2064	1583
566	2068	1579
567	2071	1575
568	2075	1571
569	2079	1568
570	2083	1565
571	2090	1563
572	2093	1560
573	2097	1556
574	2101	1553
575	2105	1550
576	2109	1546
577	2113	1543
578	2118	1540
579	2123	1537
580	2128	1535
581	2135	1533
582	2139	1530
583	2144	1527
584	2148	1523
585	2160	1526
586	2166	1524
587	2178	1526
588	2183	1523
589	2187	1519
590	2192	1517
591	2198	1515
592	2202	1511
593	2208	1509
594	2212	1506
595	2216	1502
596	2220	1498
597	2223	1494
598	2227	1491
599	2232	1488
600	2235	1484
601	2238	1480
602	2243	1476
603	2247	1473
604	2250	1469
605	2253	1465
606	2257	1461
607	2261	1457
608	2264	1453
609	2267	1449
610	2270	1445
611	2274	1441
612	2278	1438
613	2282	1434
614	2285	1430
615	2288	1426
616	2292	1423
617	2296	1419
618	2299	1415
619	2302	1411
620	2306	1407
621	2311	1404
622	2314	1400
623	2318	1396
624	2322	1393
625	2326	1389
626	2329	1385
627	2332	1381
628	2336	1378
629	2341	1374
630	2345	1371
631	2348	1367
632	2352	1363
633	2356	1360
634	2361	1357
635	2364	1353
636	2367	1349
637	2373	1346
638	2377	1343
639	2381	1339
640	2384	1335
641	2389	1332
642	2394	1329
643	2397	1325
644	2401	1321
645	2405	1318
646	2410	1315
647	2414	1311
648	2417	1307
649	2421	1303
650	2425	1300
651	2429	1296
652	2434	1293
653	2439	1290
